Term_ID,Term_Index,Semester,Term_Abbreviation,Term_Start_Date,Term_Census_Date,Term_End_Date,Reporting_Year_FSS,Reporting_Academic_Year_FSS
2018FA,20182,Fall,FA,2018-08-15,2018-08-24,2018-12-13,2019,2018-2019
2019SP,20187,Spring,SP,2019-01-07,2019-01-16,2019-05-08,2019,2018-2019
2019SU,20190,Summer,SU,2019-05-20,2019-05-23,2019-07-16,2019,2018-2019
2019FA,20192,Fall,FA,2019-08-19,2019-08-28,2019-12-16,2020,2019-2020
2020SP,20197,Spring,SP,2020-01-13,2020-01-23,2020-05-12,2020,2019-2020
2020SU,20200,Summer,SU,2020-06-08,2020-06-11,2020-08-03,2020,2019-2020
2020FA,20202,Fall,FA,2020-08-17,2020-08-26,2020-12-15,2021,2020-2021
2021SP,20207,Spring,SP,2021-01-11,2021-01-21,2021-05-12,2021,2020-2021
2021SU,20210,Summer,SU,2021-05-24,2021-05-27,2021-07-20,2021,2020-2021
2021FA,20212,Fall,FA,2021-08-16,2021-08-25,2021-12-14,2022,2021-2022
2022SP,20217,Spring,SP,2022-01-18,2022-01-27,2022-05-17,2022,2021-2022
2022SU,20220,Summer,SU,2022-06-06,2022-06-09,2022-08-01,2022,2021-2022
